;Unnamed: 0;word;weight;company;type;wieght_01;cat;index
256;256;impact;0,047303351;microsoft;pros;0,064361818;1;264
139;139;huge;-0,013784461;microsoft;cons;0,080105056;0;239
303;303;huge;-0,013784461;microsoft;pros;0,037399435;1;252
167;167;hr;-0,189223058;microsoft;cons;0,066097614;0;287
60;60;hours;-0,045112782;microsoft;cons;0,144670606;0;109
257;257;hours;-0,045112782;microsoft;pros;0,06403566;1;131
333;333;home;0,048736786;microsoft;pros;0,029571646;1;327
374;374;highly;0,039956997;microsoft;pros;0,024244401;1;375
67;67;high;-0,081453634;microsoft;cons;0,136353688;0;118
268;268;high;-0,081453634;microsoft;pros;0,053598608;1;164
353;353;help;0,04479484;microsoft;pros;0,027179822;1;354
260;260;health;0,102669772;microsoft;pros;0,062296151;1;137
22;22;hard;-0,510651629;microsoft;cons;0,261545196;0;45
294;294;hard;-0,510651629;microsoft;pros;0,041313329;1;229
57;57;growth;0,00824225;microsoft;cons;0,147515868;0;98
242;242;growth;0,00824225;microsoft;pros;0,078277886;1;106
273;273;grow;0,086185271;microsoft;pros;0,052293977;1;172
84;84;groups;-0,163533835;microsoft;cons;0,117531188;0;150
332;332;groups;-0,163533835;microsoft;pros;0,030006523;1;319
87;87;group;-0,139097744;microsoft;cons;0,114248194;0;153
320;320;group;-0,139097744;microsoft;pros;0,032615786;1;290
41;41;great;1,302454757;microsoft;cons;0,193258919;0;2
201;201;great;1,302454757;microsoft;pros;0,886279626;1;75
10;10;good;1,031535567;microsoft;cons;0,384766907;0;3
202;202;good;1,031535567;microsoft;pros;0,81702544;1;23
138;138;going;-0,229323308;microsoft;cons;0,080105056;0;238
106;106;go;-0,276315789;microsoft;cons;0,096520026;0;188
329;329;global;0,051066117;microsoft;pros;0,030984997;1;311
92;92;getting;-0,317669173;microsoft;cons;0,1109652;0;159
4;4;get;-0,797619048;microsoft;cons;0,571678704;0;11
219;219;get;-0,797619048;microsoft;pros;0,145575125;1;36
356;356;generally;0,044436481;microsoft;pros;0,026962383;1;357
288;288;fun;0,074717793;microsoft;pros;0,045335943;1;211
295;295;friendly;0,067192259;microsoft;pros;0,040769733;1;231
383;383;freedom;0,037806845;microsoft;pros;0,02293977;1;384
249;249;free;0,113958072;microsoft;pros;0,069145466;1;115
377;377;food;0,038702741;microsoft;pros;0,023483366;1;378
166;166;focused;-0,19047619;microsoft;cons;0,066535347;0;286
78;78;focus;-0,176065163;microsoft;cons;0,122783979;0;142
330;330;focus;-0,176065163;microsoft;pros;0,0304414;1;315
230;230;flexible;0,175774951;microsoft;pros;0,10665362;1;69
272;272;flexibility;0,08654363;microsoft;pros;0,052511416;1;171
112;112;find;-0,052005013;microsoft;cons;0,09455023;0;194
